Timestamp,Chill set,Severe set,Extreme set,Chill heater,Severe heater,Extreme heater,28-00000eb5045f,28-00000eb3fd89,28-00000eb42add,28-00000eb51050,28-00000eb4cb62,28-00000eb50e10,28-00000eb501b0,28-00000eb496d2,28-00000eb3cf7d,28-00000eb52c32,28-00000ec23ab6,28-00000ec25534,28-00000eb4b7e0,28-00000ec24f93,28-00000eb4619b,28-00000eb3f54e,28-00000eb4a798,28-00000eb3e681,
2023-12-09 06:40:52.246120,14.55,18.55,22.55,off,on,on,14.587,14.574,14.542,14.46,14.731,18.54,18.501,18.604,18.453,18.344,22.141,21.973,22.198,22.176,22.107,18.164,22.108,13.73,
2023-12-09 06:41:52.192709,14.55,18.55,22.55,off,on,on,14.523,14.554,14.542,14.46,14.731,18.54,18.48,18.604,18.453,18.344,22.141,21.994,22.177,22.176,22.107,18.186,21.939,13.668,
2023-12-09 06:42:52.065977,14.55,18.55,22.55,off,on,on,14.523,14.574,14.521,14.46,14.731,18.54,18.48,18.604,18.474,18.344,22.141,21.952,22.177,22.113,22.107,18.186,21.813,13.604,
2023-12-09 06:43:52.310400,14.55,18.55,22.55,on,on,on,14.523,14.554,14.521,14.46,14.731,18.54,18.48,18.604,18.453,18.344,22.141,21.973,22.198,22.113,22.086,18.206,21.792,13.542,
2023-12-09 06:44:52.196474,14.55,18.55,22.55,on,on,on,14.523,14.512,14.478,14.46,14.669,18.54,18.459,18.583,18.474,18.344,22.141,21.952,22.156,22.113,22.107,18.186,21.75,13.499,
2023-12-09 06:45:52.035961,14.55,18.55,22.55,on,on,on,14.523,14.512,14.478,14.439,14.669,18.54,18.48,18.583,18.453,18.344,22.141,21.952,22.135,22.113,22.065,18.248,21.813,13.542,
2023-12-09 06:46:52.280097,14.55,18.55,22.55,on,on,on,14.461,14.512,14.478,14.397,14.669,18.54,18.48,18.54,18.453,18.322,22.12,21.952,22.135,22.113,22.044,18.269,21.855,13.583,
2023-12-09 06:47:52.310626,14.55,18.55,22.55,on,on,on,14.481,14.512,14.478,14.397,14.669,18.54,18.459,18.562,18.453,18.344,22.078,21.952,22.135,22.113,22.044,18.291,21.876,13.709,
2023-12-09 06:48:52.160709,14.55,18.55,22.55,on,on,on,14.461,14.512,14.478,14.397,14.669,18.54,18.459,18.604,18.453,18.344,22.078,21.911,22.135,22.113,22.044,18.354,21.939,13.751,
2023-12-09 06:49:52.218328,14.55,18.55,22.55,on,on,on,14.461,14.512,14.478,14.397,14.669,18.54,18.48,18.604,18.453,18.344,22.078,21.931,22.135,22.092,22.044,18.374,21.918,13.856,
2023-12-09 06:50:52.248540,14.55,18.55,22.55,on,off,on,14.461,14.512,14.478,14.397,14.669,18.54,18.48,18.604,18.453,18.344,22.078,21.89,22.135,22.092,22.044,18.438,21.834,13.962,
2023-12-09 06:51:52.324216,14.55,18.55,22.55,on,off,on,14.461,14.512,14.478,14.397,14.669,18.583,18.501,18.604,18.496,18.344,22.078,21.911,22.114,22.071,22.044,18.48,21.897,14.045,
2023-12-09 06:52:52.196256,14.55,18.55,22.55,on,off,on,14.461,14.512,14.478,14.397,14.669,18.583,18.501,18.604,18.474,18.344,22.078,21.89,22.072,22.071,22.044,18.438,21.897,14.129,
2023-12-09 06:53:52.247214,14.55,18.55,22.55,on,on,on,14.461,14.512,14.478,14.397,14.669,18.583,18.501,18.604,18.453,18.344,22.057,21.89,22.093,22.051,22.044,18.354,21.897,14.171,
2023-12-09 06:54:52.309007,14.55,18.55,22.55,on,on,on,14.461,14.512,14.478,14.397,14.669,18.562,18.501,18.604,18.453,18.344,22.078,21.89,22.072,22.051,22.044,18.269,21.876,14.276,
2023-12-09 06:55:52.131941,14.55,18.55,22.55,on,on,on,14.481,14.512,14.478,14.397,14.669,18.54,18.501,18.604,18.474,18.344,22.036,21.89,22.114,22.051,22.044,18.227,21.897,14.339,
2023-12-09 06:56:52.187629,14.55,18.55,22.55,off,on,on,14.481,14.512,14.478,14.397,14.669,18.54,18.501,18.604,18.453,18.344,22.057,21.89,22.114,22.051,22.023,18.248,21.897,14.402,
2023-12-09 06:57:52.151106,14.55,18.55,22.55,off,on,on,14.523,14.512,14.5,14.418,14.689,18.54,18.501,18.604,18.474,18.344,22.036,21.89,22.072,22.051,22.044,18.248,21.939,14.444,
