Timestamp,Chill set,Severe set,Extreme set,Chill heater,Severe heater,Extreme heater,28-00000eb5045f,28-00000eb3fd89,28-00000eb42add,28-00000eb51050,28-00000eb4cb62,28-00000eb50e10,28-00000eb501b0,28-00000eb496d2,28-00000eb3cf7d,28-00000eb52c32,28-00000ec23ab6,28-00000ec25534,28-00000eb4b7e0,28-00000ec24f93,28-00000eb4619b,28-00000eb3f54e,28-00000eb4a798,28-00000eb3e681,
2024-01-25 13:02:22.306119,13.79,13.79,13.79,off,off,off,14.018,14.197,14.078,14.018,14.352,14.19,14.018,14.252,14.17,14.176,14.278,14.174,14.42,14.24,14.402,13.765,13.91,13.352,
2024-01-25 13:03:22.146109,13.79,13.79,13.79,off,off,off,14.018,14.197,14.036,14.018,14.352,14.19,14.018,14.252,14.192,14.176,14.299,14.152,14.379,14.219,14.402,13.765,13.91,13.352,
2024-01-25 13:04:22.325657,13.79,13.79,13.79,off,off,off,14.018,14.24,14.057,14.018,14.352,14.19,14.018,14.252,14.17,14.134,14.278,14.152,14.399,14.24,14.381,13.765,13.91,13.352,
2024-01-25 13:05:22.177473,13.79,13.79,13.79,off,off,off,14.018,14.197,14.057,14.018,14.352,14.19,14.018,14.252,14.17,14.134,14.278,14.152,14.399,14.261,14.402,13.765,13.91,13.352,
2024-01-25 13:06:22.177856,13.79,13.79,13.79,off,off,off,14.018,14.197,14.036,14.018,14.352,14.19,14.018,14.231,14.17,14.134,14.278,14.152,14.379,14.219,14.381,13.765,13.91,13.352,
2024-01-25 13:07:22.233330,13.79,13.79,13.79,off,off,off,14.018,14.197,14.036,14.018,14.352,14.19,14.018,14.252,14.17,14.176,14.299,14.152,14.379,14.219,14.381,13.765,13.91,13.395,
2024-01-25 13:08:22.292185,13.79,13.79,13.79,off,off,off,14.018,14.219,14.057,14.018,14.352,14.19,14.018,14.252,14.192,14.176,14.299,14.152,14.399,14.219,14.423,13.765,13.91,13.352,
2024-01-25 13:09:22.273778,13.79,13.79,13.79,off,off,off,14.018,14.197,14.057,14.018,14.352,14.19,14.018,14.252,14.17,14.155,14.278,14.152,14.379,14.261,14.423,13.765,13.91,13.352,
2024-01-25 13:10:22.191232,13.79,13.79,13.79,off,off,off,14.018,14.197,14.078,14.018,14.352,14.19,14.018,14.252,14.17,14.134,14.278,14.152,14.399,14.24,14.402,13.765,13.889,13.352,
2024-01-25 13:11:22.197302,13.79,13.79,13.79,off,off,off,14.018,14.197,14.057,13.997,14.352,14.19,14.018,14.252,14.17,14.155,14.299,14.152,14.379,14.24,14.402,13.765,13.91,13.373,
2024-01-25 13:12:22.209693,13.79,13.79,13.79,off,off,off,14.018,14.197,14.057,13.997,14.352,14.19,14.018,14.252,14.17,14.155,14.299,14.174,14.399,14.261,14.36,13.765,13.91,13.352,
2024-01-25 13:13:22.209900,13.79,13.79,13.79,off,off,off,13.997,14.219,14.057,14.018,14.352,14.19,14.018,14.252,14.17,14.134,14.299,14.152,14.379,14.219,14.402,13.765,13.91,13.352,
2024-01-25 13:14:22.201081,13.79,13.79,13.79,off,off,off,14.018,14.197,14.057,14.018,14.352,14.19,14.018,14.252,14.17,14.155,14.278,14.152,14.379,14.197,14.402,13.765,13.91,13.352,
2024-01-25 13:15:22.197378,13.79,13.79,13.79,off,off,off,14.018,14.197,14.057,13.997,14.352,14.19,14.018,14.252,14.17,14.155,14.299,14.152,14.399,14.219,14.402,13.765,13.91,13.352,
2024-01-25 13:16:22.206560,13.79,13.79,13.79,off,off,off,14.018,14.219,14.036,14.018,14.331,14.19,14.018,14.252,14.17,14.155,14.278,14.152,14.379,14.24,14.402,13.765,13.91,13.395,
2024-01-25 13:17:22.197118,13.79,13.79,13.79,off,off,off,14.018,14.197,14.057,14.018,14.352,14.19,14.018,14.252,14.192,14.155,14.299,14.152,14.379,14.219,14.402,13.765,13.91,13.373,
2024-01-25 13:18:22.264774,13.79,13.79,13.79,off,off,off,14.018,14.219,14.036,14.018,14.352,14.19,14.018,14.252,14.192,14.155,14.278,14.174,14.379,14.261,14.423,13.765,13.91,13.373,
2024-01-25 13:19:22.241813,13.79,13.79,13.79,off,off,off,14.018,14.219,14.078,14.018,14.352,14.168,13.997,14.252,14.17,14.134,14.299,14.152,14.399,14.219,14.381,13.765,13.91,13.352,
2024-01-25 13:20:22.177741,13.79,13.79,13.79,off,off,off,14.018,14.219,14.057,14.018,14.352,14.19,14.018,14.252,14.192,14.134,14.278,14.152,14.399,14.24,14.36,13.765,13.91,13.352,
2024-01-25 13:21:22.296919,13.79,13.79,13.79,off,off,off,14.018,14.219,14.057,14.018,14.352,14.19,14.018,14.252,14.17,14.155,14.299,14.152,14.379,14.24,14.36,13.765,13.91,13.352,
2024-01-25 13:22:22.134566,13.79,13.79,13.79,off,off,off,14.018,14.219,14.078,14.018,14.352,14.19,14.018,14.252,14.192,14.134,14.278,14.195,14.399,14.24,14.402,13.765,13.91,13.352,
2024-01-25 13:23:22.209977,13.79,13.79,13.79,off,off,off,14.018,14.219,14.078,14.018,14.352,14.19,14.018,14.252,14.192,14.155,14.278,14.152,14.399,14.24,14.381,13.765,13.91,13.352,
2024-01-25 13:24:22.100616,13.79,13.79,13.79,off,off,off,14.018,14.219,14.057,14.018,14.352,14.19,14.018,14.252,14.192,14.134,14.299,14.152,14.399,14.24,14.423,13.765,13.91,13.352,
2024-01-25 13:25:22.232789,13.79,13.79,13.79,off,off,off,14.018,14.197,14.078,14.018,14.352,14.19,14.018,14.252,14.17,14.155,14.299,14.174,14.379,14.24,14.423,13.765,13.91,13.352,
2024-01-25 13:26:22.241411,13.79,13.79,13.79,off,off,off,14.018,14.197,14.078,14.018,14.352,14.19,14.018,14.252,14.17,14.176,14.278,14.152,14.399,14.261,14.36,13.765,13.91,13.352,
2024-01-25 13:27:22.239130,13.79,13.79,13.79,off,off,off,14.018,14.219,14.078,14.018,14.352,14.19,14.018,14.252,14.192,14.176,14.32,14.152,14.379,14.24,14.381,13.765,13.91,13.352,
2024-01-25 13:28:22.294350,13.79,13.79,13.79,off,off,off,14.018,14.219,14.099,14.018,14.352,14.19,14.018,14.252,14.192,14.155,14.299,14.152,14.399,14.219,14.402,13.765,13.91,13.352,
2024-01-25 13:29:22.303448,13.79,13.79,13.79,off,off,off,14.018,14.197,14.057,14.018,14.352,14.19,14.018,14.252,14.17,14.176,14.278,14.152,14.399,14.219,14.402,13.765,13.91,13.395,
2024-01-25 13:30:22.207520,13.79,13.79,13.79,off,off,off,14.018,14.261,14.036,14.018,14.352,14.19,14.018,14.252,14.17,14.155,14.299,14.174,14.399,14.24,14.423,13.765,13.91,13.373,
2024-01-25 13:31:22.232693,13.8,13.8,13.8,off,off,off,14.018,14.197,14.078,14.018,14.352,14.19,14.018,14.252,14.17,14.176,14.299,14.152,14.399,14.219,14.423,13.765,13.91,13.352,
2024-01-25 13:32:22.229643,13.8,13.8,13.8,off,off,off,14.018,14.24,14.078,14.018,14.331,14.19,14.018,14.252,14.17,14.176,14.278,14.174,14.42,14.261,14.402,13.765,13.91,13.352,
2024-01-25 13:33:22.177585,13.8,13.8,13.8,off,off,off,14.018,14.219,14.078,14.018,14.352,14.19,14.018,14.252,14.192,14.155,14.299,14.152,14.379,14.24,14.423,13.765,13.91,13.373,
2024-01-25 13:34:22.296658,13.8,13.8,13.8,off,off,off,14.018,14.24,14.057,14.018,14.352,14.19,14.018,14.252,14.17,14.176,14.299,14.152,14.399,14.24,14.423,13.765,13.91,13.395,
2024-01-25 13:35:22.263682,13.8,13.8,13.8,off,off,off,14.018,14.261,14.057,14.018,14.352,14.19,14.018,14.252,14.17,14.155,14.299,14.152,14.379,14.24,14.423,13.807,13.91,13.352,
2024-01-25 13:36:22.272859,13.8,13.8,13.8,off,off,off,14.018,14.219,14.057,14.018,14.352,14.19,14.018,14.252,14.192,14.155,14.299,14.152,14.379,14.24,14.423,13.765,13.91,13.352,
2024-01-25 13:37:22.145801,13.8,13.8,13.8,off,off,off,14.018,14.219,14.036,14.018,14.352,14.19,14.018,14.252,14.17,14.155,14.278,14.152,14.379,14.261,14.423,13.765,13.91,13.352,
2024-01-25 13:38:22.297264,13.8,13.8,13.8,off,off,off,14.018,14.197,14.078,14.018,14.352,14.19,14.018,14.252,14.192,14.134,14.278,14.152,14.399,14.24,14.402,13.765,13.91,13.373,
2024-01-25 13:39:22.252774,13.8,13.8,13.8,off,off,off,14.018,14.24,14.078,14.018,14.352,14.19,14.018,14.252,14.17,14.176,14.299,14.152,14.42,14.24,14.423,13.765,13.91,13.352,
2024-01-25 13:40:22.177699,13.8,13.8,13.8,off,off,off,14.018,14.261,14.078,14.018,14.352,14.19,14.018,14.252,14.17,14.176,14.278,14.152,14.379,14.24,14.402,13.765,13.91,13.352,
2024-01-25 13:41:22.232981,13.8,13.8,13.8,off,off,off,14.018,14.24,14.057,14.018,14.352,14.19,13.997,14.252,14.213,14.155,14.278,14.174,14.379,14.219,14.402,13.765,13.91,13.352,
2024-01-25 13:42:22.262835,13.8,13.8,13.8,off,off,off,14.018,14.261,14.036,13.997,14.352,14.19,14.018,14.252,14.192,14.176,14.299,14.174,14.399,14.219,14.423,13.765,13.91,13.352,
2024-01-25 13:43:22.209659,13.8,13.8,13.8,off,off,off,14.018,14.24,14.099,14.018,14.352,14.19,14.018,14.252,14.17,14.197,14.32,14.152,14.42,14.24,14.381,13.765,13.91,13.352,
2024-01-25 13:44:22.232620,13.8,13.8,13.8,off,off,off,14.018,14.219,14.078,14.018,14.352,14.19,14.018,14.252,14.192,14.176,14.278,14.152,14.379,14.24,14.423,13.765,13.91,13.352,
2024-01-25 13:45:22.292695,13.8,13.8,13.8,off,off,off,14.018,14.261,14.099,13.997,14.352,14.19,14.018,14.252,14.17,14.176,14.32,14.152,14.42,14.261,14.423,13.765,13.91,13.352,
2024-01-25 13:46:22.143604,13.8,13.8,13.8,off,off,off,14.018,14.219,14.099,14.018,14.352,14.19,14.018,14.252,14.192,14.176,14.32,14.174,14.42,14.261,14.402,13.765,13.91,13.395,
2024-01-25 13:47:22.200866,13.8,13.8,13.8,off,off,off,14.018,14.261,14.078,14.018,14.352,14.19,14.018,14.252,14.213,14.176,14.278,14.152,14.42,14.219,14.402,13.765,13.91,13.352,
2024-01-25 13:48:22.261194,13.8,13.8,13.8,off,off,off,14.018,14.219,14.078,14.018,14.352,14.19,14.018,14.252,14.17,14.155,14.299,14.174,14.399,14.24,14.423,13.765,13.91,13.352,
2024-01-25 13:49:22.306254,13.8,13.8,13.8,off,off,off,14.018,14.24,14.057,14.018,14.352,14.19,14.018,14.252,14.192,14.155,14.342,14.152,14.42,14.261,14.423,13.765,13.91,13.352,
2024-01-25 13:50:22.145456,13.8,13.8,13.8,off,off,off,14.018,14.261,14.099,14.018,14.352,14.19,14.018,14.252,14.192,14.176,14.342,14.152,14.399,14.24,14.402,13.765,13.91,13.352,
2024-01-25 13:51:22.290340,13.8,13.8,13.8,off,off,off,14.018,14.261,14.099,14.018,14.352,14.19,14.018,14.252,14.17,14.155,14.299,14.152,14.379,14.24,14.423,13.765,13.91,13.352,
2024-01-25 13:52:22.194603,13.8,13.8,13.8,off,off,off,14.018,14.24,14.078,14.018,14.352,14.19,13.997,14.252,14.213,14.176,14.278,14.174,14.399,14.24,14.402,13.786,13.91,13.352,
2024-01-25 13:53:22.081612,13.8,13.8,13.8,off,off,off,14.018,14.261,14.099,14.018,14.352,14.19,14.018,14.252,14.17,14.176,14.299,14.174,14.42,14.261,14.423,13.765,13.91,13.352,
2024-01-25 13:54:22.266068,13.8,13.8,13.8,off,off,off,14.018,14.261,14.099,14.018,14.352,14.19,14.018,14.252,14.17,14.155,14.32,14.216,14.399,14.219,14.402,13.765,13.91,13.352,
2024-01-25 13:55:22.297232,13.8,13.8,13.8,off,off,off,14.018,14.261,14.078,14.018,14.352,14.19,14.018,14.252,14.192,14.155,14.278,14.152,14.379,14.24,14.402,13.765,13.91,13.352,
2024-01-25 13:56:22.143698,13.8,13.8,13.8,off,off,off,14.018,14.261,14.099,14.018,14.352,14.19,14.018,14.252,14.17,14.155,14.278,14.152,14.399,14.261,14.402,13.786,13.91,13.352,
2024-01-25 13:57:22.199187,13.8,13.8,13.8,off,off,off,14.018,14.24,14.099,14.018,14.352,14.19,14.018,14.252,14.213,14.155,14.299,14.152,14.399,14.24,14.381,13.765,13.91,13.352,
2024-01-25 13:58:22.260532,13.8,13.8,13.8,off,off,off,14.018,14.261,14.099,14.018,14.352,14.19,14.018,14.252,14.192,14.197,14.32,14.174,14.399,14.261,14.423,13.765,13.91,13.352,
2024-01-25 13:59:22.209638,13.8,13.8,13.8,off,off,off,14.018,14.261,14.099,14.018,14.352,14.19,14.018,14.252,14.192,14.176,14.342,14.195,14.42,14.261,14.423,13.765,13.91,13.352,
2024-01-25 14:00:22.089861,13.8,13.8,13.8,off,off,off,14.018,14.261,14.099,14.018,14.352,14.19,14.018,14.252,14.17,14.176,14.299,14.152,14.42,14.24,14.423,13.765,13.91,13.352,
2024-01-25 14:01:22.232515,13.8,13.8,13.8,off,off,off,14.018,14.24,14.078,14.018,14.352,14.19,14.018,14.252,14.192,14.155,14.278,14.152,14.42,14.261,14.402,13.765,13.91,13.416,
2024-01-25 14:02:22.303473,13.8,13.8,13.8,off,off,off,14.018,14.24,14.099,14.018,14.352,14.19,14.018,14.252,14.17,14.155,14.299,14.152,14.379,14.197,14.402,13.765,13.91,13.352,
2024-01-25 14:03:22.177697,13.8,13.8,13.8,off,off,off,14.018,14.261,14.099,14.018,14.352,14.19,14.018,14.252,14.17,14.176,14.278,14.152,14.42,14.261,14.381,13.765,13.91,13.395,
