Timestamp,28-00000eb5045f,28-00000eb3fd89,28-00000eb42add,28-00000eb51050,28-00000eb4cb62,28-00000eb4a798,28-00000ec23ab6,28-00000eb501b0,28-00000eb496d2,28-00000eb50e10,28-00000eb4b7e0,28-00000ec25534,28-00000ec24f93,28-00000eb3cf7d,28-00000eb4619b,28-00000eb3f54e,28-00000eb52c32,28-00000eb3e681,
2023-08-30 21:52:51.642176,14.060666666666668,14.071999999999997,14.057,14.144,14.351999999999999,22.656000000000002,23.084,22.416,22.871,20.748,22.849999999999998,23.063333333333333,23.265,21.203333333333333,23.28233333333333,13.008000000000001,20.856,13.457333333333333,
2023-08-30 21:53:51.767803,14.039333333333333,14.071999999999997,14.036,14.144,14.351999999999999,22.719333333333335,23.084,22.458,22.955,20.852999999999998,22.913,23.084,23.348333333333333,21.224,23.303,13.008000000000001,20.939999999999998,13.478,
2023-08-30 21:54:51.779093,14.039333333333333,14.071999999999997,14.036,14.144,14.351999999999999,22.762,23.148,22.458,23.018,20.895,22.976,23.084,23.369,21.224,23.324333333333332,13.008000000000001,20.939999999999998,13.457333333333333,
2023-08-30 21:55:51.704571,14.018,14.071999999999997,14.036,14.144,14.351999999999999,22.762,23.148,22.416,23.039,20.874,23.039,23.084,23.39033333333333,21.203333333333333,23.34566666666667,13.008000000000001,20.919,13.478,
2023-08-30 21:56:51.677123,14.018,14.030000000000001,14.077999999999998,14.144,14.351999999999999,22.824,23.209999999999997,22.416,23.102,20.831999999999997,23.081,23.126666666666665,23.39033333333333,21.203333333333333,23.34566666666667,13.008000000000001,20.919,13.478,
2023-08-30 21:57:51.747785,14.082,14.071999999999997,14.036,14.144,14.351999999999999,22.824,23.209999999999997,22.395,23.123,20.811,23.123,23.084666666666664,23.348333333333333,21.162,23.30366666666667,13.008000000000001,20.919,13.457333333333333,
2023-08-30 21:58:51.683948,14.060666666666668,14.051,14.036,14.144,14.351999999999999,22.782666666666668,23.021666666666665,22.226333333333333,23.060000000000002,20.684,23.143999999999995,22.812,23.159999999999997,21.035666666666668,23.135666666666665,13.008000000000001,20.856,13.478,
2023-08-30 21:59:51.741025,14.018,14.030000000000001,14.036,14.144,14.351999999999999,22.719333333333335,22.833,22.037333333333333,22.997,20.622,23.143999999999995,22.455666666666662,23.013333333333335,20.930999999999997,22.988333333333333,13.07,20.877,13.478,
2023-08-30 22:00:51.779846,14.018,14.030000000000001,14.036,14.144,14.351999999999999,22.635,22.665666666666667,21.826666666666664,22.955,20.622,23.143999999999995,22.203999999999997,22.888,20.805,22.820333333333334,13.028666666666666,20.856,13.457333333333333,
2023-08-30 22:01:51.683744,14.060666666666668,14.030000000000001,14.036,14.144,14.351999999999999,22.550333333333338,22.539666666666665,21.65833333333333,22.955,20.558,23.102,21.973333333333333,22.825,20.742,22.715999999999998,13.008000000000001,20.835,13.478,
