Metric,Percentile_95,Mean
Duration,116,42.208333333333336
Max intensity,5.5072149999999995,3.8930833333333332
Mean intensity,3.9857449999999996,2.76905
Onset rate,0.5131549999999996,0.219675
Decline rate,0.9573049999999995,0.2894625
