Timestamp,Temp set,Heater status,28-00000eb4cb62,28-00000eb3e681,28-00000eb51050,28-00000eb3cf7d,28-00000eb5045f,
2024-03-17 17:17:14.371704,18.044444444444444,on,18.019,18.013,18.017,18.391,17.491,
2024-03-17 17:17:29.674400,18.044444444444444,on,18.04,18.013,18.059,18.391,17.491,
2024-03-17 17:17:44.962019,18.055555555555557,on,18.019,18.013,18.059,18.391,17.491,
2024-03-17 17:18:00.272954,18.055555555555557,on,18.062,18.013,18.059,18.432,17.491,
2024-03-17 17:18:29.343520,18.055555555555557,on,18.04,18.013,18.038,18.453,17.491,
2024-03-17 17:18:44.618788,18.055555555555557,on,18.062,18.034,18.059,18.517,17.491,
2024-03-17 17:18:59.938007,18.055555555555557,on,18.062,18.013,18.059,18.517,17.491,
2024-03-17 17:19:15.309136,18.055555555555557,on,18.083,18.013,18.059,18.517,17.491,
2024-03-17 17:19:44.358056,18.055555555555557,on,18.062,18.013,18.017,18.579,17.491,
2024-03-17 17:19:59.626182,18.055555555555557,on,18.062,18.013,18.059,18.579,17.512,
2024-03-17 17:20:14.942281,18.055555555555557,on,18.083,18.013,18.059,18.579,17.554,
2024-03-17 17:20:30.252565,18.055555555555557,on,18.062,18.034,18.059,18.579,17.554,
2024-03-17 17:20:59.373173,18.055555555555557,on,18.062,18.034,18.059,18.579,17.533,
2024-03-17 17:21:14.661014,18.055555555555557,on,18.062,18.013,18.059,18.579,17.554,
2024-03-17 17:21:29.920246,18.055555555555557,on,18.062,18.013,18.059,18.579,17.554,
2024-03-17 17:21:45.229829,18.055555555555557,off,18.083,18.076,18.059,18.579,17.554,
2024-03-17 17:22:14.348994,18.055555555555557,off,18.083,18.055,18.059,18.538,17.554,
2024-03-17 17:22:29.637386,18.055555555555557,on,18.062,18.034,18.038,18.517,17.554,
2024-03-17 17:22:44.880602,18.066666666666666,on,18.083,18.013,18.059,18.517,17.554,
2024-03-17 17:23:00.186699,18.066666666666666,on,18.083,18.013,18.059,18.538,17.554,
2024-03-17 17:23:29.259462,18.066666666666666,on,18.083,18.013,18.038,18.517,17.554,
2024-03-17 17:23:44.522016,18.066666666666666,on,18.083,18.034,18.059,18.517,17.554,
2024-03-17 17:23:59.786241,18.066666666666666,on,18.083,18.013,18.059,18.517,17.554,
2024-03-17 17:24:15.041232,18.066666666666666,on,18.083,18.055,18.059,18.496,17.554,
2024-03-17 17:24:44.357760,18.066666666666666,on,18.062,18.013,18.059,18.496,17.575,
2024-03-17 17:24:59.692413,18.066666666666666,on,18.083,18.055,18.059,18.453,17.597,
2024-03-17 17:25:15.013821,18.066666666666666,on,18.083,18.055,18.059,18.474,17.618,
2024-03-17 17:25:44.413466,18.066666666666666,on,18.083,18.055,18.059,18.453,17.597,
2024-03-17 17:25:59.683514,18.066666666666666,on,18.083,18.034,18.059,18.453,17.618,
2024-03-17 17:26:15.052257,18.066666666666666,on,18.083,18.034,18.059,18.453,17.597,
2024-03-17 17:26:44.428197,18.066666666666666,on,18.083,18.055,18.059,18.412,17.618,
2024-03-17 17:26:59.692295,18.066666666666666,on,18.083,18.055,18.059,18.432,17.618,
2024-03-17 17:27:15.046234,18.066666666666666,on,18.083,18.055,18.059,18.453,17.618,
2024-03-17 17:27:44.357587,18.077777777777783,on,18.083,18.055,18.059,18.453,17.618,
2024-03-17 17:27:59.661425,18.077777777777783,on,18.083,18.076,18.059,18.453,17.618,
2024-03-17 17:28:14.982318,18.077777777777783,on,18.083,18.076,18.059,18.474,17.618,
2024-03-17 17:28:30.378128,18.077777777777783,stable,18.083,18.076,18.08,18.517,17.618,
2024-03-17 17:28:59.265552,18.077777777777783,on,18.083,18.055,18.059,18.517,17.618,
2024-03-17 17:29:14.508159,18.077777777777783,on,18.083,18.034,18.059,18.517,17.639,
2024-03-17 17:29:29.794406,18.077777777777783,on,18.083,18.076,18.059,18.579,17.618,
2024-03-17 17:29:45.034045,18.077777777777783,on,18.083,18.055,18.059,18.579,17.639,
2024-03-17 17:30:14.380606,18.077777777777783,on,18.062,18.076,18.059,18.622,17.639,
2024-03-17 17:30:29.670713,18.077777777777783,on,18.083,18.076,18.059,18.579,17.66,
2024-03-17 17:30:44.962267,18.077777777777783,on,18.083,18.055,18.059,18.622,17.618,
2024-03-17 17:31:00.201812,18.077777777777783,on,18.083,18.076,18.059,18.643,17.66,
2024-03-17 17:31:29.326130,18.077777777777783,on,18.083,18.076,18.059,18.6,17.68,
2024-03-17 17:31:44.611960,18.077777777777783,on,18.083,18.076,18.059,18.579,17.68,
2024-03-17 17:31:59.852246,18.077777777777783,on,18.083,18.034,18.101,18.579,17.68,
2024-03-17 17:32:15.142227,18.077777777777783,on,18.083,18.076,18.059,18.579,17.68,
2024-03-17 17:32:44.362248,18.088888888888892,on,18.083,18.076,18.059,18.579,17.68,
2024-03-17 17:32:59.681257,18.088888888888892,on,18.083,18.076,18.08,18.558,17.68,
2024-03-17 17:33:14.977025,18.088888888888892,on,18.083,18.076,18.08,18.558,17.68,
2024-03-17 17:33:30.246232,18.088888888888892,on,18.083,18.076,18.059,18.538,17.68,
2024-03-17 17:33:59.366300,18.088888888888892,on,18.083,18.076,18.059,18.517,17.68,
2024-03-17 17:34:14.624934,18.088888888888892,on,18.083,18.076,18.08,18.517,17.68,
2024-03-17 17:34:29.865927,18.088888888888892,on,18.083,18.076,18.08,18.496,17.68,
2024-03-17 17:34:45.156424,18.088888888888892,on,18.083,18.076,18.08,18.517,17.68,
2024-03-17 17:35:14.371236,18.088888888888892,on,18.083,18.076,18.08,18.453,17.68,
2024-03-17 17:35:29.613100,18.088888888888892,on,18.083,18.076,18.059,18.453,17.68,
2024-03-17 17:35:44.903343,18.088888888888892,stable,18.083,18.076,18.122,18.453,17.68,
2024-03-17 17:36:00.172963,18.088888888888892,on,18.083,18.076,18.101,18.453,17.702,
2024-03-17 17:36:29.349050,18.088888888888892,on,18.083,18.076,18.059,18.412,17.68,
2024-03-17 17:36:44.588263,18.088888888888892,stable,18.125,18.076,18.08,18.391,17.723,
2024-03-17 17:36:59.879654,18.088888888888892,on,18.083,18.076,18.101,18.412,17.744,
2024-03-17 17:37:15.180365,18.088888888888892,on,18.083,18.076,18.08,18.453,17.723,
2024-03-17 17:37:44.357585,18.1,on,18.083,18.076,18.122,18.453,17.723,
2024-03-17 17:37:59.601802,18.1,on,18.083,18.076,18.122,18.517,17.744,
2024-03-17 17:38:14.913041,18.1,stable,18.104,18.076,18.122,18.517,17.744,
2024-03-17 17:38:30.155820,18.1,stable,18.104,18.076,18.122,18.517,17.744,
