t,temp
2020-01-02,14.955763888888889
2020-01-03,15.18548611111111
2020-01-04,15.085972222222221
2020-01-05,14.988194444444446
2020-01-06,15.149305555555555
2020-01-07,15.209583333333335
2020-01-08,15.29548611111111
2020-01-09,15.0625
2020-01-10,14.837083333333334
2020-01-11,14.915069444444445
2020-01-12,14.952361111111111
2020-01-13,15.039375
2020-01-14,15.036319444444445
2020-01-15,15.048194444444444
2020-01-16,15.044027777777778
2020-01-17,14.969166666666666
2020-01-18,14.914166666666667
2020-01-19,14.968472222222221
2020-01-20,14.943125
2020-01-21,14.93388888888889
2020-01-22,15.054444444444444
2020-01-23,14.965208333333333
2020-01-24,14.985208333333333
2020-01-25,15.132361111111111
2020-01-26,15.296458333333334
2020-01-27,15.285555555555554
2020-01-28,15.196488654147105
2020-01-29,15.083680555555556
2020-01-30,14.947986111111112
2020-01-31,15.08388888888889
2020-02-01,14.898611111111112
2020-02-02,15.061041666666666
2020-02-03,14.077638888888888
2020-02-04,13.94263888888889
2020-02-05,14.186458333333334
2020-02-06,14.366527777777778
2020-02-07,14.368402777777778
2020-02-08,14.408472222222223
2020-02-09,14.555138888888889
2020-02-10,14.58125
2020-02-11,14.506458333333333
2020-02-12,14.517847222222223
2020-02-13,14.637083333333333
2020-02-14,14.656736111111112
2020-02-15,14.671041666666667
2020-02-16,14.708194444444445
2020-02-17,14.794791666666667
2020-02-18,14.778402777777778
2020-02-19,14.8275
2020-02-20,14.844861111111111
2020-02-21,14.764305555555556
2020-02-22,15.002986111111111
2020-02-23,14.940347222222222
2020-02-24,15.158472222222223
2020-02-25,15.056805555555556
2020-02-26,14.941736111111112
2020-02-27,14.82263888888889
2020-02-28,14.806944444444444
2020-02-29,15.118819444444444
2020-03-01,14.906944444444445
2020-03-02,14.268541666666668
2020-03-03,14.372499999999999
2020-03-04,14.756388888888889
2020-03-05,15.022083333333333
2020-03-06,14.866041666666668
2020-03-07,14.569930555555556
2020-03-08,14.351041666666667
2020-03-09,14.806111111111111
2020-03-10,15.244375
2020-03-11,15.207708333333333
2020-03-12,15.16875
2020-03-13,15.326319444444444
2020-03-14,15.434236111111112
2020-03-15,15.491736111111111
2020-03-16,15.569097222222222
2020-03-17,15.316447574334898
2020-03-18,15.345
2020-03-19,14.604375000000001
2020-03-20,14.723194444444445
2020-03-21,14.809791666666666
2020-03-22,15.057986111111113
2020-03-23,15.418611111111112
2020-03-24,15.139652777777776
2020-03-25,14.676388888888889
2020-03-26,14.068402777777777
2020-03-27,13.01972222222222
2020-03-28,12.184444444444445
2020-03-29,12.417569444444444
2020-03-30,12.468333333333334
2020-03-31,12.556458333333332
2020-04-01,13.215763888888889
2020-04-02,13.554861111111112
2020-04-03,13.430347222222222
2020-04-04,13.63861111111111
2020-04-05,13.561875
2020-04-06,14.076666666666668
2020-04-07,13.959027777777777
2020-04-08,13.566527777777779
2020-04-09,13.619097222222223
2020-04-10,13.805833333333332
2020-04-11,14.16173611111111
2020-04-12,14.313194444444445
2020-04-13,14.239305555555555
2020-04-14,14.33798611111111
2020-04-15,14.398194444444446
2020-04-16,14.404375
2020-04-17,14.406041666666667
2020-04-18,14.531527777777779
2020-04-19,13.77576388888889
2020-04-20,13.649444444444445
2020-04-21,12.801041666666666
2020-04-22,12.659722222222221
2020-04-23,12.408125
2020-04-24,12.541944444444445
2020-04-25,12.78486111111111
2020-04-26,12.687430555555554
2020-04-27,12.605694444444445
2020-04-28,12.878819444444446
2020-04-29,12.974097222222223
2020-04-30,12.992708333333333
2020-05-01,13.466666666666667
2020-05-02,13.078819444444445
2020-05-03,13.109166666666667
2020-05-04,12.960972222222221
2020-05-05,13.142083333333334
2020-05-06,13.251111111111111
2020-05-07,13.383472222222222
2020-05-08,13.572083333333333
2020-05-09,13.070277777777777
2020-05-10,13.655694444444444
2020-05-11,13.220555555555556
2020-05-12,12.95513888888889
2020-05-13,12.894791666666666
2020-05-14,12.760277777777778
2020-05-15,11.813333333333333
2020-05-16,11.9775
2020-05-17,13.071458333333332
2020-05-18,12.578541666666666
2020-05-19,11.631527777777777
2020-05-20,11.226736111111112
2020-05-21,11.6325
2020-05-22,12.452261473429951
2020-05-23,13.187152777777778
2020-05-24,13.329305555555557
2020-05-25,13.020763888888888
2020-05-26,13.493680555555557
2020-05-27,13.525833333333335
2020-05-28,13.612430555555555
2020-05-29,14.810347222222223
2020-05-30,15.116111111111111
2020-05-31,14.290069444444445
2020-06-01,14.33375
2020-06-02,14.406527777777779
2020-06-03,14.16375
2020-06-04,14.254722222222222
2020-06-05,15.49111111111111
2020-06-06,14.405902777777778
2020-06-07,14.194861111111111
2020-06-08,13.201805555555556
2020-06-09,13.150694444444444
2020-06-10,13.209513888888889
2020-06-11,13.696180555555557
2020-06-12,13.692430555555555
2020-06-13,13.33
2020-06-14,12.788611111111113
2020-06-15,13.20875
2020-06-16,13.18201388888889
2020-06-17,14.716319444444444
2020-06-18,15.191944444444445
2020-06-19,15.354223395931143
2020-06-20,14.873680555555556
2020-06-21,14.840833333333332
2020-06-22,14.897222222222222
2020-06-23,14.695972222222222
2020-06-24,14.385069444444444
2020-06-25,14.305625
2020-06-26,14.651805555555555
2020-06-27,14.411666666666665
2020-06-28,13.881319444444443
2020-06-29,13.867638888888889
2020-06-30,13.53298611111111
2020-07-01,13.607291666666667
2020-07-02,13.751875
2020-07-03,13.847847222222223
2020-07-04,14.132708333333333
2020-07-05,14.712916666666667
2020-07-06,15.111944444444445
2020-07-07,15.062152777777778
2020-07-08,15.13701388888889
2020-07-09,14.437152777777778
