tank,treatment,date,avg_temp,min_temp,max_temp,avg_temp_last_3_days,min_temp_last_3_days,max_temp_last_3_days
5,chill,2024-02-02,14.190573519163763,14.018,14.439,14.136771265647182,13.9404625,14.279277777777779
5,chill,2024-02-06,13.916454102920722,13.829,14.144,13.929564099121725,13.916454102920722,13.946760416666667
5,chill,2024-02-09,13.949204861111111,13.429,14.461,13.97075625,13.866850694444445,14.096213194444445
5,chill,2024-02-13,13.537118302018094,13.26,13.934,13.547988971043068,13.537118302018094,13.56029375
5,chill,2024-02-16,13.584949305555556,13.429,13.745,13.562917590660897,13.538495827538247,13.584949305555556
5,chill,2024-02-20,14.074373870743573,13.997,14.144,13.983422154874654,13.828725,14.074373870743573
6,severe,2023-09-29,16.55425052337753,15.642,18.574,15.936954572607325,15.365042361111112,16.55425052337753
6,severe,2023-10-03,15.800564583333333,14.826,18.657,15.880666250675624,15.430202918693537,16.41123125
6,severe,2023-10-06,17.333265831593597,16.731,17.652,16.94040343308009,16.66227478753541,17.333265831593597
6,severe,2023-10-10,18.963953472222222,18.155,19.662,18.52545324074074,17.77668263888889,18.963953472222222
6,severe,2023-10-13,18.89340902777778,18.385,19.307,18.907783564814817,18.89340902777778,18.93562361111111
6,severe,2023-10-17,18.666924305555554,17.192,19.851,18.89351906895152,18.666924305555554,19.012125956854558
6,severe,2023-10-20,19.143530555555554,17.464,19.893,18.730845990046465,17.784296527777776,19.264710886806057
6,severe,2023-10-24,19.56164108910891,19.223,19.683,19.270058865321058,18.9847987012987,19.56164108910891
6,severe,2023-10-27,19.212713194444444,18.029,19.746,19.25500277777778,19.212713194444444,19.2881125
6,severe,2023-10-31,18.93612152777778,18.029,19.349,18.874312962962964,18.691830555555555,18.994986805555556
6,severe,2023-11-03,18.750693806541406,17.715,19.851,18.902914139217504,18.750693806541406,19.03556875
6,severe,2023-11-07,19.13979861111111,18.908,19.746,19.13143528703704,19.123642666666665,19.13979861111111
6,severe,2023-11-10,19.06654551772064,18.301,19.851,19.04460455397895,18.979408617095206,19.087859527121
6,severe,2023-11-14,19.071420027816412,18.721,19.537,19.069350194457325,19.061736111111113,19.074894444444446
6,severe,2023-11-17,19.036564583333334,18.134,19.223,19.02347314814815,19.013675,19.036564583333334
6,severe,2023-11-21,18.951040972222224,17.967,19.411,18.994141855328902,18.951040972222224,19.043907510431154
6,severe,2023-11-24,18.943108408617096,18.699,19.411,18.961088291977607,18.943108408617096,18.97297566063978
6,severe,2023-11-28,18.86653888888889,18.678,19.097,18.86581529387524,18.851534770514604,18.879372222222223
6,severe,2023-12-01,18.776115277777777,18.553,18.908,18.831524830654715,18.776115277777777,18.874325
6,severe,2023-12-05,18.637975,18.28,18.888,18.70642777777778,18.637975,18.758086111111112
6,severe,2023-12-08,18.51311736111111,18.029,18.741,18.606203708210995,18.51311736111111,18.689484027777777
6,severe,2023-12-12,17.99282986111111,16.773,18.972,18.34560242421136,17.99282986111111,18.534471488178024
6,severe,2023-12-15,15.185091098748261,14.449,15.893,16.142990551434607,15.185091098748261,17.091224305555556
6,severe,2023-12-19,15.101906879777623,14.574,15.767,14.774829281617523,14.589794853963838,15.101906879777623
6,severe,2023-12-22,15.451508333333333,15.118,15.663,15.434652301614898,15.363977083333333,15.488471488178025
6,severe,2023-12-26,15.550945138888888,15.433,15.935,15.550728472222223,15.537752083333334,15.563488194444444
6,severe,2023-12-29,15.38444375,14.197,15.663,15.52449212962963,15.38444375,15.628525
6,severe,2024-01-02,15.33919471488178,15.098,15.579,15.43373921051615,15.33919471488178,15.541602083333334
6,severe,2024-01-05,14.546259722222223,14.281,14.826,14.802871064814816,14.546259722222223,15.164083333333334
6,severe,2024-01-09,14.067894444444445,13.946,14.365,14.177376403849124,14.067894444444445,14.387170138888889
6,severe,2024-01-12,14.013582638888888,13.883,14.113,14.046570138888889,14.013582638888888,14.092328472222222
6,severe,2024-01-16,14.101031944444443,14.008,14.616,14.068184722222222,14.027924305555555,14.101031944444443
6,severe,2024-01-19,14.027518055555555,13.946,14.134,14.184106159532272,14.027518055555555,14.318995833333334
6,severe,2024-01-23,14.035155771905425,13.695,14.302,14.049973220264773,14.022892361111111,14.091871527777778
6,severe,2024-01-26,14.024994338287332,13.821,14.197,14.06688529939197,14.024994338287332,14.102896935933147
6,severe,2024-01-30,14.125531944444443,13.778,14.385,14.09238611111111,14.033545138888888,14.125531944444443
6,severe,2024-02-02,14.313479442508712,14.155,14.511,14.238173934539942,14.017809722222221,14.383232638888888
6,severe,2024-02-06,13.9652983310153,13.757,14.072,14.01283115663473,13.9652983310153,14.058779166666666
6,severe,2024-02-09,13.914884722222222,13.485,14.365,13.958304861111111,13.885972222222222,14.074057638888888
6,severe,2024-02-13,13.537100208768267,13.318,13.821,13.557009097367201,13.537100208768267,13.575142361111112
6,severe,2024-02-16,13.656720833333333,13.506,13.821,13.59755254951579,13.540429861111111,13.656720833333333
6,severe,2024-02-20,14.125685892981236,14.03,14.197,14.030894329559139,13.887588194444444,14.125685892981236
7,severe,2023-09-29,16.69071109560363,15.808,18.705,16.066540272608616,15.49263611111111,16.69071109560363
7,severe,2023-10-03,15.915354861111112,14.99,18.769,16.003961607533522,15.566144544822794,16.530385416666668
7,severe,2023-10-06,17.488371607515656,16.942,17.823,17.09028377282571,16.82518555240793,17.488371607515656
7,severe,2023-10-10,19.146485416666668,18.327,19.839,18.698651157407408,17.942461805555556,19.146485416666668
7,severe,2023-10-13,19.09154375,18.579,19.524,19.097908564814812,19.072623611111112,19.129558333333332
7,severe,2023-10-17,18.86360625,17.383,20.028,19.092500569280137,18.86360625,19.207075694444445
7,severe,2023-10-20,19.328097222222222,17.697,20.07,18.909488486842104,17.93868402777778,19.461684210526315
7,severe,2023-10-24,19.729893564356434,19.398,19.86,19.457853912385286,19.182788311688313,19.729893564356434
7,severe,2023-10-27,19.380445833333333,18.705,19.923,19.430733796296295,19.380445833333333,19.469539583333333
7,severe,2023-10-31,19.06706736111111,18.265,19.461,19.001519907407406,18.815774305555554,19.121718055555554
7,severe,2023-11-03,18.927629784272792,17.887,20.028,19.060035854016856,18.927629784272792,19.191937499999998
7,severe,2023-11-07,19.311277083333334,19.125,19.944,19.30965953703704,19.308396666666667,19.311277083333334
7,severe,2023-11-10,19.234586518415565,18.643,20.028,19.203292134663133,19.129144544822793,19.246145340751042
7,severe,2023-11-14,19.231340751043117,18.915,19.713,19.233280713310666,19.222846527777776,19.24565486111111
7,severe,2023-11-17,19.198833333333333,18.306,19.419,19.195002777777777,19.19140486111111,19.198833333333333
7,severe,2023-11-21,19.101127777777776,18.075,19.587,19.142123246986554,19.101127777777776,19.191713490959664
7,severe,2023-11-24,19.1070701876303,18.076,19.566,19.130614958231888,19.1070701876303,19.14718776077886
7,severe,2023-11-28,19.025713194444446,18.831,19.209,19.028749137820018,19.01763769123783,19.042896527777778
7,severe,2023-12-01,18.927210416666668,18.705,19.041,18.973952685700304,18.927210416666668,19.005846527777777
7,severe,2023-12-05,18.77105138888889,18.432,19.021,18.852656481481482,18.77105138888889,18.910325
7,severe,2023-12-08,18.670604166666667,18.18,18.957,18.75373217431618,18.670604166666667,18.821095833333334
7,severe,2023-12-12,18.12734097222222,16.921,19.083,18.48243648608771,18.12734097222222,18.669407510431153
7,severe,2023-12-15,15.228021557719055,14.486,15.934,16.219548621091537,15.228021557719055,17.20104375
7,severe,2023-12-19,15.141145934676858,14.612,15.808,14.800048271109253,14.608692628650903,15.141145934676858
