Date,Time,Tank,Genet,N,Splitting
10/10/23,18:00,1,E,20,1
10/10/23,18:00,2,A,12,2
10/10/23,18:00,2,B,19,0
10/10/23,18:00,2,C,9,1
10/10/23,18:00,2,D,21,0
10/10/23,18:00,2,E,27,1
10/10/23,18:00,3,A,15,1
10/10/23,18:00,3,B,18,2
10/10/23,18:00,3,C,11,0
10/10/23,18:00,3,D,19,2
10/10/23,18:00,3,E,19,0
10/10/23,18:00,4,A,13,0
10/10/23,18:00,4,B,17,0
10/10/23,18:00,4,C,10,0
10/10/23,18:00,4,D,21,0
10/10/23,18:00,4,E,20,1
10/10/23,18:00,5,A,12,1
10/10/23,18:00,5,B,18,0
10/10/23,18:00,5,C,9,0
10/10/23,18:00,5,D,25,2
10/10/23,18:00,5,E,22,0
10/10/23,18:00,6,A,18,0
10/10/23,18:00,6,B,20,0
10/10/23,18:00,6,C,11,0
10/10/23,18:00,6,D,22,2
10/10/23,18:00,6,E,24,0
10/10/23,18:00,7,A,21,0
10/10/23,18:00,7,B,18,1
10/10/23,18:00,7,C,11,0
10/10/23,18:00,7,D,21,0
10/10/23,18:00,7,E,21,0
10/10/23,18:00,8,A,12,0
10/10/23,18:00,8,B,21,0
10/10/23,18:00,8,C,8,0
10/10/23,18:00,8,D,22,0
10/10/23,18:00,8,E,25,3
10/10/23,18:00,9,A,13,0
10/10/23,18:00,9,B,17,0
10/10/23,18:00,9,C,13,0
10/10/23,18:00,9,D,20,0
10/10/23,18:00,9,E,19,0
10/10/23,18:00,10,A,15,2
10/10/23,18:00,10,B,18,1
10/10/23,18:00,10,C,12,0
10/10/23,18:00,10,D,23,0
10/10/23,18:00,10,E,25,2
10/10/23,18:00,11,A,12,3
10/10/23,18:00,11,B,18,0
10/10/23,18:00,11,C,12,0
10/10/23,18:00,11,D,21,0
10/10/23,18:00,11,E,22,1
10/10/23,18:00,12,A,14,1
10/10/23,18:00,12,B,19,1
10/10/23,18:00,12,C,11,0
10/10/23,18:00,12,D,25,1
10/10/23,18:00,12,E,27,1
10/10/23,18:00,13,A,12,0
10/10/23,18:00,13,B,18,0
10/10/23,18:00,13,C,12,0
10/10/23,18:00,13,D,21,1
10/10/23,18:00,13,E,20,2
10/10/23,18:00,14,A,15,1
10/10/23,18:00,14,B,18,1
10/10/23,18:00,14,C,8,0
10/10/23,18:00,14,D,18,1
10/10/23,18:00,14,E,23,0
10/10/23,18:00,15,A,12,1
10/10/23,18:00,15,B,19,0
10/10/23,18:00,15,C,7,0
10/10/23,18:00,15,D,18,1
10/10/23,18:00,15,E,25,1
10/13/23,18:45,1,A,17,2
10/13/23,18:45,1,B,21,0
10/13/23,18:45,1,C,10,0
10/13/23,18:45,1,D,20,0
10/13/23,18:45,1,E,21,0
10/13/23,18:45,2,A,13,1
10/13/23,18:45,2,B,19,0
10/13/23,18:45,2,C,9,0
10/13/23,18:45,2,D,21,1
10/13/23,18:45,2,E,27,1
10/13/23,18:45,3,A,16,2
10/13/23,18:45,3,B,18,1
10/13/23,18:45,3,C,12,1
