date_time,temp,t
2015-03-06T00:00:00Z,14.97,2015-03-06
2015-03-06T00:20:01Z,14.97,2015-03-06
2015-03-06T00:40:02Z,14.96,2015-03-06
2015-03-06T01:00:03Z,14.95,2015-03-06
2015-03-06T01:20:04Z,14.95,2015-03-06
2015-03-06T01:39:56Z,14.95,2015-03-06
2015-03-06T01:59:57Z,14.95,2015-03-06
2015-03-06T02:19:58Z,14.95,2015-03-06
2015-03-06T02:39:59Z,14.95,2015-03-06
2015-03-06T03:00:00Z,14.95,2015-03-06
2015-03-06T03:20:01Z,14.93,2015-03-06
2015-03-06T03:40:02Z,14.89,2015-03-06
2015-03-06T04:00:03Z,14.86,2015-03-06
2015-03-06T04:20:04Z,14.83,2015-03-06
2015-03-06T04:39:56Z,14.81,2015-03-06
2015-03-06T04:59:57Z,14.82,2015-03-06
2015-03-06T05:19:58Z,14.83,2015-03-06
2015-03-06T05:39:59Z,14.83,2015-03-06
2015-03-06T06:00:00Z,14.82,2015-03-06
2015-03-06T06:20:01Z,14.82,2015-03-06
2015-03-06T06:40:02Z,14.82,2015-03-06
2015-03-06T07:00:03Z,14.81,2015-03-06
2015-03-06T07:20:04Z,14.79,2015-03-06
2015-03-06T07:39:56Z,14.79,2015-03-06
2015-03-06T07:59:57Z,14.79,2015-03-06
2015-03-06T08:19:58Z,14.79,2015-03-06
2015-03-06T08:39:59Z,14.8,2015-03-06
2015-03-06T09:00:00Z,14.8,2015-03-06
2015-03-06T09:20:01Z,14.79,2015-03-06
2015-03-06T09:40:02Z,14.79,2015-03-06
2015-03-06T10:00:03Z,14.79,2015-03-06
2015-03-06T10:20:04Z,14.78,2015-03-06
2015-03-06T10:39:56Z,14.76,2015-03-06
2015-03-06T10:59:57Z,14.75,2015-03-06
2015-03-06T11:19:58Z,14.76,2015-03-06
2015-03-06T11:39:59Z,14.76,2015-03-06
2015-03-06T12:00:00Z,14.76,2015-03-06
2015-03-06T12:20:01Z,14.76,2015-03-06
2015-03-06T12:40:02Z,14.76,2015-03-06
2015-03-06T13:00:03Z,14.76,2015-03-06
2015-03-06T13:20:04Z,14.76,2015-03-06
2015-03-06T13:39:56Z,14.77,2015-03-06
2015-03-06T13:59:57Z,14.77,2015-03-06
2015-03-06T14:19:58Z,14.77,2015-03-06
2015-03-06T14:39:59Z,14.77,2015-03-06
2015-03-06T15:00:00Z,14.78,2015-03-06
2015-03-06T15:20:01Z,14.78,2015-03-06
2015-03-06T15:40:02Z,14.78,2015-03-06
2015-03-06T16:00:03Z,14.78,2015-03-06
2015-03-06T16:20:04Z,14.78,2015-03-06
2015-03-06T16:39:56Z,14.78,2015-03-06
2015-03-06T16:59:57Z,14.78,2015-03-06
2015-03-06T17:19:58Z,14.79,2015-03-06
2015-03-06T17:39:59Z,14.8,2015-03-06
2015-03-06T18:00:00Z,14.81,2015-03-06
2015-03-06T18:20:01Z,14.82,2015-03-06
2015-03-06T18:40:02Z,14.84,2015-03-06
2015-03-06T19:00:03Z,14.86,2015-03-06
2015-03-06T19:20:04Z,14.87,2015-03-06
2015-03-06T19:39:56Z,14.88,2015-03-06
2015-03-06T19:59:57Z,14.88,2015-03-06
2015-03-06T20:19:58Z,14.9,2015-03-06
