Timestamp,28-00000eb5045f,28-00000eb3fd89,28-00000eb42add,28-00000eb51050,28-00000eb4cb62,28-00000eb50e10,28-00000eb501b0,28-00000eb496d2,28-00000eb3cf7d,28-00000eb52c32,28-00000ec23ab6,28-00000ec25534,28-00000eb4b7e0,28-00000ec24f93,28-00000eb4619b,28-00000eb3f54e,28-00000eb4a798,28-00000eb3e681,
2023-08-31 14:30:21.724511,13.765,13.884,14.077999999999998,14.207,14.330999999999998,14.231333333333334,14.165,14.316,14.234,16.563666666666666,18.242,14.278,14.379,16.585,14.591000000000001,12.881,13.678000000000003,14.045,
2023-08-31 14:31:21.636375,13.765,13.904666666666666,14.098999999999998,14.207,14.351999999999999,14.252,14.207,14.316,14.234,16.563666666666666,18.242,14.278,14.379,16.585,14.612,12.881,13.677999999999999,14.024000000000001,
2023-08-31 14:32:21.627723,13.765,13.946,14.098999999999998,14.207,14.351999999999999,14.252,14.207,14.316,14.234,16.563666666666666,18.22066666666667,14.278,14.379,16.585,14.507,12.881,13.678000000000003,14.086999999999998,
2023-08-31 14:33:21.687953,13.829,13.946,14.141666666666666,14.207,14.351999999999999,14.252,14.207,14.357333333333335,14.254666666666667,16.563666666666666,18.242,14.278,14.357666666666667,16.648,14.485999999999999,12.881,13.699,14.213000000000001,
2023-08-31 14:34:21.636054,13.829,13.946,14.141666666666666,14.228333333333333,14.351999999999999,14.316,14.249666666666668,14.378,14.296,16.563666666666666,18.262,14.257333333333333,14.231,16.606,14.444,12.881,13.72,14.381,
2023-08-31 14:35:21.635943,13.871,13.988,14.163000000000002,14.228333333333333,14.394666666666666,14.316,14.271,14.378,14.296,16.542333333333335,18.116,14.089999999999998,14.189,16.45933333333333,14.423,12.881,13.762,14.402000000000001,
2023-08-31 14:36:21.664768,13.913000000000002,14.009,14.163000000000002,14.271,14.394666666666666,14.336666666666668,14.271,14.378,14.296,16.563666666666666,18.094666666666665,14.089999999999998,14.189,16.375666666666664,14.423,13.133666666666668,13.783,14.612,
2023-08-31 14:37:21.729152,13.955,14.051,14.225,14.271,14.416000000000002,14.336666666666668,14.312333333333333,14.442,14.296,16.542333333333335,18.094666666666665,14.068999999999997,14.168,16.333,14.402000000000001,12.881,13.845999999999998,14.633000000000001,
2023-08-31 14:38:21.543139,13.955,14.051,14.225,14.271,14.416000000000002,14.399333333333333,14.333,14.442,14.338666666666667,16.542333333333335,18.010666666666665,14.068999999999997,14.189,16.25,14.402000000000001,12.881,13.994,14.654000000000002,
2023-08-31 14:39:21.697491,14.018,14.071999999999997,14.225,14.291666666666666,14.416000000000002,14.442,14.375666666666667,14.504,14.36,16.521666666666665,17.99,14.069,14.189,16.186999999999998,14.402000000000001,12.881,14.141666666666666,14.822000000000001,
2023-08-31 14:40:21.660085,14.082,14.113999999999999,14.289,14.333,14.416000000000002,14.525333333333334,14.397,14.504,14.464666666666668,16.417,17.927,14.089999999999998,14.21,16.103,14.465000000000002,12.881,14.246333333333332,14.863999999999999,
2023-08-31 14:41:21.766778,14.102666666666666,14.135,14.289,14.333,14.478,14.568,14.397,14.568,14.506666666666668,16.144666666666666,17.78,14.089999999999998,14.252,15.851666666666667,14.423,12.881,14.394666666666666,14.969000000000001,
2023-08-31 14:42:21.662332,14.123333333333333,14.135,14.330999999999998,14.354333333333335,14.478,14.588666666666667,14.439,14.568,14.506666666666666,16.082,17.968999999999998,14.089999999999998,14.252,15.725999999999999,14.444,12.881,14.541666666666666,15.094999999999999,
2023-08-31 14:43:21.760610,14.208,14.196999999999997,14.351999999999999,14.397,14.499333333333333,14.63,14.46,14.609333333333334,14.548,16.060666666666666,17.864,14.152,14.273000000000001,15.809666666666667,14.485999999999999,12.881,14.647666666666666,15.094999999999999,
2023-08-31 14:44:21.830668,14.229,14.196999999999997,14.351999999999999,14.397,14.542,14.651333333333334,14.523000000000001,14.63,14.548,16.27,17.13,14.152,14.315,15.558333333333332,14.485999999999999,12.881,14.773666666666665,15.158000000000001,
2023-08-31 14:45:21.542706,14.271,14.239666666666665,14.416000000000002,14.439,14.542,14.63,14.544000000000002,14.672666666666666,14.506666666666668,16.208,16.983,14.173333333333332,14.336333333333334,15.517000000000001,14.528,12.881,14.879,15.158000000000001,
2023-08-31 14:46:21.693086,14.313,14.261000000000001,14.416000000000002,14.439,14.542,14.63,14.586,14.715000000000002,14.548,16.186666666666664,16.92,14.216,14.399666666666667,15.517000000000001,14.507,12.881,14.984,15.284,
2023-08-31 14:47:21.574862,14.333999999999998,14.323,14.478,14.46,14.604999999999999,14.672666666666666,14.607,14.757,14.569333333333333,16.186666666666664,16.92,14.216,14.399666666666667,15.517000000000001,14.549,12.881,15.089999999999998,15.305,
2023-08-31 14:48:21.606519,14.418333333333335,14.323,14.499333333333333,14.523000000000001,14.604999999999999,14.735999999999999,14.649,14.82,14.612,16.186666666666664,16.858,14.278,14.441,15.517000000000001,14.57,12.881,15.195,15.368,
2023-08-31 14:49:21.600729,14.461,14.386000000000001,14.542,14.523000000000001,14.647666666666666,14.757,14.690999999999997,14.862,14.653333333333334,16.144,16.858,14.278,14.483666666666666,15.517000000000001,14.591000000000001,12.881,15.300666666666666,15.472999999999999,
2023-08-31 14:50:21.693034,14.523000000000001,14.386000000000001,14.583999999999998,14.543999999999999,14.669000000000002,14.82,14.711999999999998,14.883000000000001,14.674,16.165333333333333,16.858,14.299333333333335,14.505,15.517000000000001,14.612,12.881,15.385,15.515,
