Timestamp,Chill set,Severe set,Extreme set,Chill heater,Severe heater,Extreme heater,28-00000eb5045f,28-00000eb3fd89,28-00000eb42add,28-00000eb51050,28-00000eb4cb62,28-00000eb50e10,28-00000eb501b0,28-00000eb496d2,28-00000eb3cf7d,28-00000eb52c32,28-00000ec23ab6,28-00000ec25534,28-00000eb4b7e0,28-00000ec24f93,28-00000eb4619b,28-00000eb3f54e,28-00000eb4a798,28-00000eb3e681,
2023-09-17 16:25:52.076182,13.9,17.9,21.9,off,off,on,14.966,15.015,14.921,15.028,15.174,18.099,18.101,18.204,18.075,17.903,23.084,22.854,23.018,23.056,22.884,17.743,22.509,14.822,
2023-09-17 16:26:52.137225,13.9,17.9,21.9,off,off,on,14.966,15.015,14.942,15.028,15.174,18.099,18.101,18.183,18.075,17.903,23.084,22.833,23.018,23.035,22.884,17.743,22.571,14.927,
2023-09-17 16:27:52.224131,13.9,17.9,21.9,off,off,on,14.966,15.035,14.942,15.028,15.174,18.099,18.122,18.162,18.075,17.903,23.084,22.833,23.018,22.992,22.905,17.743,22.635,14.843,
2023-09-17 16:28:52.358273,13.9,17.9,21.9,off,off,on,14.966,15.035,14.984,15.049,15.174,18.099,18.122,18.183,18.075,17.903,23.084,22.875,23.018,23.035,22.884,17.743,22.698,14.759,
2023-09-17 16:29:52.298354,13.9,17.9,21.9,off,off,on,15.028,15.077,14.984,15.028,15.174,18.12,18.122,18.226,18.075,17.903,23.084,22.854,23.018,23.056,22.905,17.722,22.804,14.675,
2023-09-17 16:30:52.163882,13.87,17.87,21.87,off,off,on,15.028,15.077,14.984,15.07,15.174,18.099,18.122,18.204,18.075,17.924,23.084,22.896,23.018,23.056,22.863,17.722,22.888,14.549,
2023-09-17 16:31:52.319861,13.87,17.87,21.87,off,off,off,15.028,15.077,14.984,15.028,15.174,18.099,18.122,18.226,18.075,17.924,23.106,22.896,23.018,23.056,22.925,17.68,22.909,14.465,
2023-09-17 16:32:52.234289,13.87,17.87,21.87,off,off,off,15.028,15.077,14.984,15.049,15.216,18.12,18.122,18.226,18.075,17.924,23.127,22.896,23.018,23.056,22.925,17.722,23.014,14.423,
2023-09-17 16:33:52.264434,13.87,17.87,21.87,off,off,off,15.028,15.077,14.984,15.07,15.216,18.099,18.122,18.226,18.075,17.967,23.127,22.896,23.039,23.056,22.905,17.68,23.014,14.36,
2023-09-17 16:34:52.353465,13.87,17.87,21.87,off,off,off,15.028,15.077,14.984,15.049,15.216,18.12,18.122,18.226,18.096,17.946,23.127,22.896,23.081,23.076,22.925,17.701,22.993,14.339,
2023-09-17 16:35:52.252256,13.87,17.87,21.87,off,off,off,15.028,15.077,14.984,15.028,15.195,18.099,18.122,18.226,18.096,17.967,23.148,22.917,23.081,23.076,22.925,17.701,23.014,14.297,
2023-09-17 16:36:52.201848,13.87,17.87,21.87,off,off,off,15.028,15.077,14.984,15.028,15.237,18.099,18.122,18.226,18.096,17.924,23.148,22.896,23.06,23.118,22.925,17.68,22.972,14.276,
2023-09-17 16:37:52.194188,13.87,17.87,21.87,off,off,off,15.028,15.077,14.984,15.049,15.174,18.141,18.122,18.226,18.118,17.967,23.127,22.938,23.081,23.097,22.925,17.68,22.951,14.192,
2023-09-17 16:38:52.232228,13.87,17.87,21.87,off,off,off,15.028,15.077,14.984,15.049,15.174,18.12,18.122,18.226,18.096,17.946,23.148,22.896,23.081,23.076,22.925,17.68,22.951,14.129,
2023-09-17 16:39:52.169008,13.87,17.87,21.87,off,off,off,15.028,15.077,14.984,15.028,15.195,18.141,18.122,18.226,18.075,17.967,23.148,22.938,23.06,23.118,22.925,17.68,22.951,14.087,
2023-09-17 16:40:52.264164,13.87,17.87,21.87,off,off,off,15.007,15.056,14.984,15.028,15.195,18.162,18.122,18.226,18.075,17.967,23.148,22.938,23.081,23.118,22.925,17.68,22.951,14.024,
2023-09-17 16:41:52.293154,13.87,17.87,21.87,off,off,off,14.966,15.077,14.984,15.049,15.174,18.12,18.122,18.226,18.139,17.967,23.148,22.959,23.081,23.076,22.925,17.68,22.888,13.982,
2023-09-17 16:42:52.137056,13.87,17.87,21.87,off,off,off,14.966,15.056,14.963,15.028,15.174,18.141,18.122,18.226,18.118,17.967,23.148,22.938,23.081,23.076,22.925,17.68,22.888,13.92,
2023-09-17 16:43:52.168974,13.87,17.87,21.87,off,off,off,14.966,15.015,14.963,15.028,15.174,18.141,18.122,18.226,18.096,17.967,23.148,22.938,23.081,23.056,22.925,17.68,22.888,13.898,
2023-09-17 16:44:52.359718,13.87,17.87,21.87,off,off,off,14.966,15.015,14.921,15.028,15.153,18.162,18.122,18.226,18.118,17.967,23.148,22.917,23.06,23.118,22.925,17.68,22.824,13.877,
2023-09-17 16:45:52.286034,13.87,17.87,21.87,off,off,off,14.944,15.015,14.921,15.028,15.111,18.141,18.122,18.226,18.096,17.967,23.148,22.917,23.081,23.076,22.925,17.68,22.824,13.856,
2023-09-17 16:46:52.197666,13.87,17.87,21.87,off,off,off,14.944,15.015,14.921,15.028,15.111,18.162,18.122,18.226,18.118,17.946,23.148,22.917,23.081,23.076,22.925,17.68,22.803,13.794,
2023-09-17 16:47:52.223313,13.87,17.87,21.87,on,off,off,14.923,15.015,14.921,14.965,15.111,18.162,18.122,18.226,18.118,17.967,23.148,22.917,23.081,23.056,22.925,17.68,22.762,13.73,
2023-09-17 16:48:52.262157,13.87,17.87,21.87,on,off,off,14.902,15.015,14.921,14.986,15.111,18.141,18.122,18.226,18.096,17.967,23.127,22.896,23.081,23.076,22.925,17.68,22.698,13.668,
