t,temp
2020-01-02,14.985416666666667
2020-01-03,15.3425
2020-01-04,15.200833333333334
2020-01-05,14.977777777777778
2020-01-06,15.315277777777778
2020-01-07,15.363888888888889
2020-01-08,15.25611111111111
2020-01-09,15.090277777777779
2020-01-10,14.842916666666667
2020-01-11,14.969305555555556
2020-01-12,15.064722222222223
2020-01-13,15.084444444444445
2020-01-14,15.084861111111111
2020-01-15,15.098888888888888
2020-01-16,15.1025
2020-01-17,14.975833333333334
2020-01-18,14.901527777777778
2020-01-19,15.006805555555555
2020-01-20,15.04625
2020-01-21,15.059583333333334
2020-01-22,15.149166666666666
2020-01-23,14.992777777777778
2020-01-24,14.975416666666666
2020-01-25,15.299166666666666
2020-01-26,15.365694444444445
2020-01-27,15.459999999999999
2020-01-28,15.278611111111111
2020-01-29,15.471666666666666
2020-01-30,15.304722222222223
2020-01-31,15.297638888888889
2020-02-01,15.192638888888888
2020-02-02,15.27111111111111
2020-02-03,14.628194444444444
2020-02-04,14.254444444444445
2020-02-05,14.567916666666667
2020-02-06,14.594027777777779
2020-02-07,14.781527777777779
2020-02-08,14.68875
2020-02-09,14.814861111111112
2020-02-10,14.702083333333333
2020-02-11,14.696805555555555
2020-02-12,14.73638888888889
2020-02-13,14.801666666666666
2020-02-14,14.782361111111111
2020-02-15,14.757361111111111
2020-02-16,14.799166666666666
2020-02-17,14.9425
2020-02-18,14.899722222222222
2020-02-19,14.806805555555556
2020-02-20,14.956388888888888
2020-02-21,15.002638888888889
2020-02-22,15.272777777777778
2020-02-23,15.20861111111111
2020-02-24,15.487638888888888
2020-02-25,15.2825
2020-02-26,15.230416666666667
2020-02-27,15.090833333333332
2020-02-28,14.861527777777777
2020-02-29,15.38861111111111
2020-03-01,15.027777777777779
2020-03-02,14.612222222222222
2020-03-03,14.785833333333333
2020-03-04,14.991944444444444
2020-03-05,15.212222222222222
2020-03-06,15.014722222222222
2020-03-07,14.937777777777779
2020-03-08,14.887777777777778
2020-03-09,15.284305555555555
2020-03-10,15.4575
2020-03-11,15.431666666666667
2020-03-12,15.42388888888889
2020-03-13,15.489305555555555
2020-03-14,15.571111111111112
2020-03-15,15.676388888888889
2020-03-16,15.75625
2020-03-17,15.398450704225352
2020-03-18,15.4425
2020-03-19,14.907638888888888
2020-03-20,14.969305555555556
2020-03-21,14.938333333333333
2020-03-22,15.471666666666668
2020-03-23,15.74013888888889
2020-03-24,15.545277777777777
2020-03-25,14.828888888888889
2020-03-26,14.046666666666667
2020-03-27,12.873194444444444
2020-03-28,12.512222222222222
2020-03-29,12.919305555555555
2020-03-30,12.94736111111111
2020-03-31,12.989166666666666
2020-04-01,13.624444444444444
2020-04-02,13.91388888888889
2020-04-03,13.843333333333334
2020-04-04,14.143194444444445
2020-04-05,13.958472222222222
2020-04-06,14.637777777777778
2020-04-07,14.409444444444444
2020-04-08,14.024583333333334
2020-04-09,14.059166666666666
2020-04-10,14.129166666666666
2020-04-11,14.604027777777778
2020-04-12,14.611944444444445
2020-04-13,14.348472222222222
2020-04-14,14.517083333333334
2020-04-15,14.641527777777778
2020-04-16,14.648194444444444
2020-04-17,14.68625
2020-04-18,14.79111111111111
2020-04-19,14.090416666666666
2020-04-20,13.977083333333333
2020-04-21,13.230833333333333
2020-04-22,13.347222222222221
2020-04-23,12.799444444444445
2020-04-24,13.537777777777778
2020-04-25,13.190972222222221
2020-04-26,13.132777777777777
2020-04-27,13.127222222222223
2020-04-28,13.176111111111112
2020-04-29,13.633055555555556
2020-04-30,13.889305555555556
2020-05-01,14.518333333333333
2020-05-02,13.943472222222223
2020-05-03,13.293194444444444
2020-05-04,13.34625
2020-05-05,13.946527777777778
2020-05-06,13.698055555555555
2020-05-07,13.653472222222222
2020-05-08,14.385
2020-05-09,13.9225
2020-05-10,14.397916666666667
2020-05-11,13.859861111111112
2020-05-12,13.327916666666667
2020-05-13,13.27138888888889
2020-05-14,13.183472222222223
2020-05-15,12.199027777777777
2020-05-16,12.826527777777777
2020-05-17,13.317361111111111
2020-05-18,13.136944444444444
2020-05-19,11.924027777777777
2020-05-20,11.584166666666667
2020-05-21,12.261944444444444
2020-05-22,12.829305555555555
2020-05-23,13.42611111111111
2020-05-24,13.581527777777778
2020-05-25,13.50611111111111
2020-05-26,14.009444444444444
2020-05-27,14.0175
2020-05-28,14.342222222222222
2020-05-29,16.066944444444445
2020-05-30,15.646944444444445
2020-05-31,14.79263888888889
2020-06-01,15.02875
2020-06-02,15.021805555555556
2020-06-03,13.988055555555556
2020-06-04,14.712916666666667
2020-06-05,15.224305555555555
2020-06-06,15.149444444444445
2020-06-07,15.30486111111111
2020-06-08,13.82638888888889
2020-06-09,13.643472222222222
2020-06-10,14.095972222222223
2020-06-11,14.762361111111112
2020-06-12,14.571527777777778
2020-06-13,14.353472222222223
2020-06-14,13.763472222222223
2020-06-15,13.957777777777778
2020-06-16,13.819166666666666
2020-06-17,15.54625
2020-06-18,15.925972222222223
2020-06-19,15.788169014084508
2020-06-20,15.601944444444445
2020-06-21,15.394444444444444
2020-06-22,15.593194444444444
2020-06-23,15.533611111111112
2020-06-24,15.112083333333333
2020-06-25,14.824305555555556
2020-06-26,15.3775
2020-06-27,14.880277777777778
2020-06-28,14.283888888888889
2020-06-29,14.15375
2020-06-30,13.741666666666667
2020-07-01,13.7825
2020-07-02,14.134305555555555
2020-07-03,14.387916666666667
2020-07-04,14.728055555555555
2020-07-05,15.395555555555555
2020-07-06,15.87888888888889
2020-07-07,15.877083333333333
2020-07-08,15.791527777777778
2020-07-09,14.940416666666666
